@relation ndviproxys
@attribute ELARRAS numeric
@attribute RBPP-J numeric
@attribute RLSAL-S numeric
@attribute FDR-S numeric
@attribute LL-Salta numeric
@attribute RBlan-J numeric
@attribute FLPich-S numeric
@attribute DQESC-T numeric
@attribute RHorq-Tuc numeric
@attribute NDVI numeric
@data
907,1002,1239,1373,749,776,1047,518,1234,?
941,1366,945,1030,990,967,152,249,940,?
831,782,724,1062,1074,714,460,182,847,?
1034,1018,472,535,1091,923,460,253,1162,?
192,853,930,309,858,979,460,503,1067,?
941,914,1802,860,339,1515,768,911,494,?
581,855,1649,1412,677,1437,4146,1110,641,?
484,705,1496,1063,1015,1359,385,589,829,?
1189,1039,1538,1063,1114,1319,1372,839,1049,?
630,919,1268,715,973,782,1441,906,867,?
791,806,1176,729,991,979,1187,722,279,?
1439,908,1249,2519,987,964,1563,679,359,?
845,711,1121,916,1023,873,1293,810,416,?
679,841,1148,1265,1105,884,1065,896,723,?
1000,1397,1173,1875,1126,956,1031,287,642,?
844,1254,925,823,1126,1033,1480,1644,791,?
534,590,1046,411,766,711,1847,1475,463,?
736,965,2458,771,2208,1292,1097,812,326,?
1546,519,558,737,897,1866,1385,1399,533,?
741,806,673,2175,819,2148,670,1396,1100,?
1063,1189,1132,2073,1193,1674,656,551,740,?
846,622,1149,1410,1112,1485,857,657,890,?
907,806,1407,213,1382,1364,1271,1356,907,?
632,1336,1086,705,1021,1160,1145,1515,325,?
1416,861,1101,668,956,626,1206,1291,712,?
729,939,1371,917,1267,730,1140,1325,531,?
721,1385,1346,1239,1222,711,1134,622,611,?
661,1068,1198,2124,606,662,1138,759,1259,?
610,643,969,583,495,1005,1061,262,906,?
1745,896,855,1029,454,657,962,439,1029,?
536,1332,17,409,913,838,945,241,835,?
1653,986,813,600,888,1714,1081,1032,875,?
1199,1011,902,1150,642,1480,1440,927,1148,?
623,973,908,399,1368,1537,1499,1191,1002,?
1166,1289,1488,590,1086,1534,599,1721,1097,?
1253,624,1620,781,1316,693,826,2100,975,?
859,724,1247,676,1285,1022,1444,2639,1109,?
883,1167,1128,751,1700,1492,1583,1360,1157,?
570,1425,1060,1264,1725,1065,1164,228,1298,?
1330,855,986,761,1469,932,1069,841,1177,?
751,1043,1051,760,1847,898,1129,2541,944,?
1071,741,1217,1207,1165,930,838,1911,890,?
787,817,1260,570,1655,699,1102,2384,635,?
866,735,1032,1010,785,925,1445,412,922,?
1356,1122,1307,895,1061,712,407,466,1078,?
1547,871,1127,1416,576,935,1244,674,1058,?
1090,1136,1098,966,1028,941,1278,853,960,?
630,713,926,503,447,1451,1137,1329,841,?
2022,520,839,619,706,1282,1137,914,1423,?
633,1242,878,671,669,998,1035,408,1462,?
641,1143,704,955,622,714,1042,515,1539,?
1655,1154,1268,1191,554,1155,1405,510,1087,?
1644,1070,1030,1413,498,1039,1337,507,749,?
1535,644,1001,1083,646,1466,1318,511,991,?
1373,1389,862,1236,704,443,1054,403,940,?
1466,619,1036,930,740,849,832,803,656,?
712,1357,1027,972,735,286,960,723,444,?
429,828,1007,747,1082,1130,1044,675,687,?
1431,593,991,1261,1141,1088,863,494,1155,?
951,1578,1020,1121,862,1036,966,823,718,?
625,773,713,739,515,1058,888,953,896,?
1422,964,1423,905,1039,1119,1139,888,845,?
1183,1116,842,776,670,603,1522,661,1258,?
763,350,1119,878,1058,1243,947,862,2126,?
310,924,854,668,1026,1402,996,703,1213,?
985,1247,868,1399,1700,1594,867,1390,1743,?
675,1365,1042,1330,1082,985,889,741,1240,?
978,693,1010,1769,734,1209,600,735,1469,?
841,389,876,1635,1926,1215,673,736,1445,?
779,1398,627,1337,742,1353,892,1156,1748,?
522,532,1101,2474,950,916,1087,686,1116,?
452,780,1033,1604,1547,739,1158,765,1065,?
1202,799,1115,1109,614,628,1114,1200,914,?
1481,1070,1242,1148,942,1033,1164,1154,971,?
1636,744,934,746,1885,744,927,1468,854,?
1231,649,786,503,1125,302,1220,1672,1001,?
1392,635,885,356,487,495,1172,1272,1107,?
882,751,1250,264,1171,950,1013,1037,858,?
813,681,1208,314,362,894,1097,1032,1073,?
920,1079,982,422,939,1316,1012,649,1043,?
948,951,688,466,1563,1464,943,888,822,?
663,751,1008,708,1111,1045,876,1153,843,?
580,678,1113,608,803,783,951,1514,1038,?
924,1156,1155,669,1101,1003,1127,701,1111,?
1226,1284,947,873,671,923,1016,356,1363,?
716,898,1158,1258,838,928,726,262,1052,?
854,968,1189,1416,875,1117,1111,669,1344,?
787,737,1172,977,753,1094,1032,846,974,?
1167,1129,1044,1187,1242,1229,891,666,821,?
1012,1153,941,1442,1276,1144,879,1207,1035,?
810,773,1173,1322,1017,986,750,1061,792,?
817,1187,1250,1229,1138,1243,745,605,1164,?
983,962,898,788,625,1112,1040,880,858,?
383,966,835,493,887,881,926,829,805,?
551,1783,1318,843,1083,1229,1016,1022,1010,?
824,1580,1421,1209,912,1267,992,671,892,?
873,735,1285,1383,804,1404,839,813,893,?
623,745,614,735,684,1037,843,1284,1007,?
1705,1499,585,1416,1055,1378,1461,2238,1401,?
861,833,1110,1087,612,987,1222,1446,1241,?
1158,647,1058,917,853,828,1071,1026,1692,?
1740,1268,1414,1228,1027,1239,1126,662,1077,?
1159,1440,915,1391,932,1559,959,429,1181,?
1012,1465,1254,1722,1123,1316,1307,598,992,?
868,663,417,897,1397,750,829,975,416,?
1282,1149,1272,1061,1241,725,1059,1687,318,?
1382,422,742,1163,623,791,685,1679,243,?
1335,1316,1075,1378,1261,808,929,1500,556,?
1520,1062,533,842,1222,844,1009,723,741,?
1447,962,1153,900,1474,1124,1057,1150,783,?
785,532,1001,643,1084,952,767,191,779,?
553,992,591,844,1304,1225,1064,1058,595,?
1007,1351,804,1177,1348,1237,1120,1277,1347,?
1501,718,1188,853,1221,837,1092,941,1489,?
1267,852,432,907,1178,1303,971,1316,877,?
880,901,578,873,816,1037,1333,1458,681,?
840,800,625,784,680,1121,891,1325,877,?
311,861,713,775,455,1070,620,232,1089,?
1090,1352,955,1578,532,740,909,332,1463,?
730,946,1279,1081,877,568,1163,558,1075,?
1051,719,1531,1648,769,847,1100,671,1148,?
1429,1246,1299,950,1382,423,1506,1391,1177,?
655,695,1070,856,456,494,1338,1239,734,?
899,510,539,499,1189,350,1297,1474,287,?
933,935,950,783,690,578,861,1529,532,?
711,987,1210,871,773,512,818,1040,839,?
718,995,1357,1333,746,712,903,1294,1010,?
942,1270,1516,1452,1403,1189,1285,993,1516,?
893,939,865,1175,750,1100,1185,1117,1087,?
1129,1379,638,1784,1573,2201,1348,1779,1220,?
1228,954,1234,1258,1355,1060,1024,961,1279,?
